descricaoEmpresaTI,descritivoSoftware,nomeEnte,codigoUnidade,nomeUnidade,descricaoTipoUnidade,Assunto,ultimoEnvio,ultimoanomes
Betha Sistemas,Atos de Pessoal,MAJOR GERCINO,31399,Câmara Municipal de Major Gercino ,Câmara de Vereadores,Plano de Cargos,2025-03-05 14:09:23.730,202503
Betha Sistemas,Atos de Pesoal,MAJOR GERCINO,31399,Câmara Municipal de Major Gercino ,Câmara de Vereadores,Plano de Cargos,2025-02-04 14:23:55.343,202412
Betha Sistemas,SAPO,MAJOR GERCINO,31399,Câmara Municipal de Major Gercino ,Câmara de Vereadores,Registros Contábeis,2025-05-30 09:36:55.917,202503
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,31399,Câmara Municipal de Major Gercino ,Câmara de Vereadores,Registros Contábeis,2025-04-14 21:49:38.760,202501
Betha Sistemas,Planejamento,MAJOR GERCINO,80952,Controle Interno do Municipio de Major Gercino,Unidade Central,Gestão Fiscal,2025-02-12 16:52:24.827,202412
Betha Sistemas,Planejamento,MAJOR GERCINO,80952,Controle Interno do Municipio de Major Gercino,Unidade Central,LDO,2025-04-11 21:56:28.940,202501
Betha Sistemas,Planejamento,MAJOR GERCINO,80952,Controle Interno do Municipio de Major Gercino,Unidade Central,LOA,2025-05-06 12:55:41.400,202503
Betha Sistemas,Planejamento,MAJOR GERCINO,80952,Controle Interno do Municipio de Major Gercino,Unidade Central,PPA,2025-04-11 21:55:18.117,202501
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,69827,Fundo Municipal de Assistência Social de Major Gercino ,Fundo,Contratos,2025-05-22 10:37:26.337,202505
Betha Sistemas,Execução Orçamentária,MAJOR GERCINO,69827,Fundo Municipal de Assistência Social de Major Gercino ,Fundo,Execução Orçamentária,2025-06-01 09:06:25.173,202504
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,69827,Fundo Municipal de Assistência Social de Major Gercino ,Fundo,Licitações,2025-03-27 11:24:34.083,202503
Betha Sistemas,SAPO,MAJOR GERCINO,69827,Fundo Municipal de Assistência Social de Major Gercino ,Fundo,Registros Contábeis,2025-05-31 14:24:55.373,202503
BETHA SISTEMAS LTDA ,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,69827,Fundo Municipal de Assistência Social de Major Gercino ,Fundo,Registros Contábeis,2025-04-28 18:21:42.613,202501
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,38956,Fundo Municipal de Saúde de Major Gercino ,Fundo,Contratos,2025-06-03 10:35:10.647,202505
Betha Sistemas,Execução Orçamentária,MAJOR GERCINO,38956,Fundo Municipal de Saúde de Major Gercino ,Fundo,Execução Orçamentária,2025-06-01 08:56:36.967,202504
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,38956,Fundo Municipal de Saúde de Major Gercino ,Fundo,Licitações,2025-05-12 11:46:42.460,202505
Betha Sistemas,SAPO,MAJOR GERCINO,38956,Fundo Municipal de Saúde de Major Gercino ,Fundo,Registros Contábeis,2025-05-31 15:54:39.177,202503
BETHA SISTEMAS LTDA ,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,38956,Fundo Municipal de Saúde de Major Gercino ,Fundo,Registros Contábeis,2025-04-29 09:11:16.677,202501
Betha Sistemas,Atos de Pesoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Atos de Pessoal,2025-02-14 11:47:45.230,202408
Betha Sistemas,Atos de Pessoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Atos de Pessoal,2025-04-02 11:08:34.967,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Atos de Pessoal,2025-05-07 09:39:02.173,202505
Betha Sistemas,Atos de Pessoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Concursos,2025-02-21 15:17:39.527,202501
Betha Sistemas,Atos de Pesoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Concursos,2025-03-24 16:44:57.830,202406
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Contratos,2025-05-27 14:22:37.127,202505
Betha Sistemas,Execução Orçamentária,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Execução Orçamentária,2025-06-01 08:36:50.867,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Folha de Pagamento,2025-05-07 09:53:37.043,202505
Betha Sistemas,Atos de Pessoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Folha de Pagamento,2025-05-07 10:05:05.030,202504
Betha Sistemas,Atos de Pesoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Folha de Pagamento,2025-02-17 17:01:25.907,202412
Betha Sistemas,Atos Juridicos,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Licitações,2025-06-02 14:56:11.280,202506
Betha Sistemas,Atos de Pesoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Plano de Cargos,2025-02-15 12:01:54.637,202407
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Plano de Cargos,2025-05-02 08:53:53.743,202505
Betha Sistemas,Atos de Pessoal,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Plano de Cargos,2025-06-02 10:57:05.293,202506
Betha Sistemas,SAPO,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Registros Contábeis,2025-06-01 07:56:45.287,202503
BETHA SISTEMAS LTDA ,PRESTAÇÃO DE CONTAS,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Registros Contábeis,2025-04-30 08:07:47.367,202501
Betha Sistemas,Tributos,MAJOR GERCINO,10952,Prefeitura Municipal de Major Gercino ,Administração Direta,Tributário,2025-04-28 11:30:16.850,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Atos de Pessoal,2025-02-06 09:32:39.427,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Contratos,2025-04-17 10:48:08.987,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Execução Orçamentária,2025-05-23 16:26:27.537,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Folha de Pagamento,2025-05-06 13:53:18.180,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Gestão Fiscal,2025-05-15 10:11:40.483,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Licitações,2025-04-17 08:35:09.717,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Plano de Cargos,2025-05-06 09:02:31.567,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,32646,Câmara Municipal de Major Vieira ,Câmara de Vereadores,Registros Contábeis,2025-05-15 09:13:30.353,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,82270,Controle Interno do Municipio de Major Vieira,Unidade Central,Gestão Fiscal,2025-06-03 16:31:47.240,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,82270,Controle Interno do Municipio de Major Vieira,Unidade Central,LDO,2025-02-24 16:20:53.640,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,82270,Controle Interno do Municipio de Major Vieira,Unidade Central,LOA,2025-05-13 08:37:53.690,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,82270,Controle Interno do Municipio de Major Vieira,Unidade Central,PPA,2025-05-13 08:20:34.983,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,25773,Fundo de Previdência Social do Município de Major Vieira ,Fundo,Execução Orçamentária,2025-05-13 13:04:56.340,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,25773,Fundo de Previdência Social do Município de Major Vieira ,Fundo,Registros Contábeis,2025-05-13 15:19:54.087,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,29540,Fundo Municipal da Criança e do Adolescente de Major Vieira ,Fundo,Registros Contábeis,2025-05-07 10:06:36.220,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27120,Fundo Municipal de Assistência Social de Major Vieira ,Fundo,Execução Orçamentária,2025-05-06 10:20:05.027,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27120,Fundo Municipal de Assistência Social de Major Vieira ,Fundo,Licitações,2025-05-30 17:59:20.837,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27120,Fundo Municipal de Assistência Social de Major Vieira ,Fundo,Registros Contábeis,2025-05-06 14:52:40.640,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27111,Fundo Municipal de Desenvolvimento Rural de Major Vieira ,Fundo,Execução Orçamentária,2025-01-16 15:52:24.817,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27111,Fundo Municipal de Desenvolvimento Rural de Major Vieira ,Fundo,Registros Contábeis,2025-05-19 16:32:39.283,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27103,Fundo Municipal de Saúde de Major Vieira ,Fundo,Contratos,2025-05-08 15:16:16.227,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27103,Fundo Municipal de Saúde de Major Vieira ,Fundo,Execução Orçamentária,2025-05-09 08:38:47.933,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27103,Fundo Municipal de Saúde de Major Vieira ,Fundo,Licitações,2025-06-03 15:47:56.367,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,27103,Fundo Municipal de Saúde de Major Vieira ,Fundo,Registros Contábeis,2025-05-09 09:08:37.190,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,33865,Fundo Rotativo Habitacional de Major Vieira ,Fundo,Execução Orçamentária,2025-01-03 09:20:59.680,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,33865,Fundo Rotativo Habitacional de Major Vieira ,Fundo,Registros Contábeis,2025-06-02 11:31:01.273,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,15148,Hospital São Lucas de Major Vieira ,Autarquia,Atos de Pessoal,2025-05-21 16:27:42.033,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,15148,Hospital São Lucas de Major Vieira ,Autarquia,Execução Orçamentária,2025-05-15 11:29:42.277,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,15148,Hospital São Lucas de Major Vieira ,Autarquia,Folha de Pagamento,2025-05-22 09:21:04.307,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,15148,Hospital São Lucas de Major Vieira ,Autarquia,Plano de Cargos,2025-05-22 13:42:07.043,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,15148,Hospital São Lucas de Major Vieira ,Autarquia,Registros Contábeis,2025-05-16 10:47:47.513,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Atos de Pessoal,2025-05-23 10:50:52.010,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Concursos,2025-05-23 09:13:34.857,202411
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Contratos,2025-05-30 18:15:02.747,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Convênios,2025-04-22 10:45:42.767,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Execução Orçamentária,2025-05-06 14:26:21.927,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Folha de Pagamento,2025-05-23 11:45:31.563,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Licitações,2025-05-30 18:15:36.577,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Plano de Cargos,2025-05-30 15:10:08.907,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Registros Contábeis,2025-05-07 10:39:40.407,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAJOR VIEIRA,12270,Prefeitura Municipal de Major Vieira ,Administração Direta,Tributário,2025-05-05 17:18:53.827,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Atos de Pessoal,2025-04-09 09:10:07.913,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Contratos,2025-04-23 19:03:28.970,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Execução Orçamentária,2025-06-03 16:18:52.707,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Folha de Pagamento,2025-04-09 09:10:21.793,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Gestão Fiscal,2025-06-03 16:11:40.360,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Licitações,2025-06-03 14:36:25.173,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Plano de Cargos,2025-04-09 09:14:31.480,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,32654,Câmara Municipal de Maracajá ,Câmara de Vereadores,Registros Contábeis,2025-05-05 11:27:27.703,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,82289,Controle Interno do Municipio de Maracajá,Unidade Central,Gestão Fiscal,2025-05-19 16:24:20.547,202504
Betha Sistemas,Planejamento,MARACAJÁ,82289,Controle Interno do Municipio de Maracajá,Unidade Central,LDO,2025-01-14 19:57:26.917,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,82289,Controle Interno do Municipio de Maracajá,Unidade Central,LOA,2025-05-06 16:23:58.200,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,68022,Fundo de Assistência à Saúde do Servidor Público Municipal de Maracajá ,Fundo,Contratos,2025-05-19 11:08:00.380,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,68022,Fundo de Assistência à Saúde do Servidor Público Municipal de Maracajá ,Fundo,Execução Orçamentária,2025-05-26 16:40:28.790,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,68022,Fundo de Assistência à Saúde do Servidor Público Municipal de Maracajá ,Fundo,Registros Contábeis,2025-05-13 11:37:46.657,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,27138,Fundo Municipal de Previdência de Maracajá ,Fundo,Contratos,2025-03-21 14:14:44.033,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,27138,Fundo Municipal de Previdência de Maracajá ,Fundo,Execução Orçamentária,2025-05-28 18:07:38.533,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,27138,Fundo Municipal de Previdência de Maracajá ,Fundo,Licitações,2025-03-21 13:34:16.477,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,27138,Fundo Municipal de Previdência de Maracajá ,Fundo,Registros Contábeis,2025-05-14 17:39:44.283,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,17744,Fundo Municipal de Saúde de Maracajá ,Fundo,Contratos,2025-04-02 16:27:57.773,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,17744,Fundo Municipal de Saúde de Maracajá ,Fundo,Execução Orçamentária,2025-05-30 18:10:21.953,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,17744,Fundo Municipal de Saúde de Maracajá ,Fundo,Registros Contábeis,2025-05-21 11:36:50.083,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Atos de Pessoal,2025-06-03 12:13:01.063,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Contratos,2025-06-02 15:40:36.683,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Convênios,2025-04-24 18:16:10.003,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Execução Orçamentária,2025-05-30 13:53:13.077,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Folha de Pagamento,2025-06-03 16:18:57.640,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Licitações,2025-06-03 13:42:47.963,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Plano de Cargos,2025-06-02 13:27:05.573,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Registros Contábeis,2025-05-30 15:42:04.987,202504
Betha Sistemas,Tributos,MARACAJÁ,12289,Prefeitura Municipal de Maracajá ,Administração Direta,Tributário,2025-04-26 15:22:26.493,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Atos de Pessoal,2025-04-02 16:47:02.543,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Contratos,2025-05-30 16:31:34.013,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Execução Orçamentária,2025-06-02 21:30:35.187,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Folha de Pagamento,2025-05-29 17:06:09.310,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Gestão Fiscal,2025-05-29 13:55:37.787,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Licitações,2025-05-30 16:31:22.900,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Plano de Cargos,2025-06-01 17:06:07.957,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,31267,Câmara Municipal de Maravilha ,Câmara de Vereadores,Registros Contábeis,2025-05-09 17:48:30.647,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,80820,Controle Interno do Municipio de Maravilha,Unidade Central,Gestão Fiscal,2025-05-23 16:42:00.547,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,80820,Controle Interno do Municipio de Maravilha,Unidade Central,LDO,2025-01-16 10:06:32.273,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,80820,Controle Interno do Municipio de Maravilha,Unidade Central,LOA,2025-06-03 13:35:11.310,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,80820,Controle Interno do Municipio de Maravilha,Unidade Central,PPA,2025-02-05 13:57:14.243,202412
Betha Sistemas,Atos de Pessoal,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Atos de Pessoal,2025-04-08 11:07:15.693,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Atos de Pessoal,2025-06-03 10:53:05.703,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Concursos,2025-05-06 14:34:34.760,202504
Betha Sistemas,Atos de Pessoal,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Concursos,2025-04-09 09:25:23.917,202503
Betha Sistemas,Atos de Pesoal,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Concursos,2025-02-13 08:56:25.413,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Contratos,2025-05-30 16:58:08.100,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Execução Orçamentária,2025-06-03 08:17:08.470,202506
Betha Sistemas,Atos de Pessoal,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Folha de Pagamento,2025-04-09 08:53:19.570,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Folha de Pagamento,2025-06-03 16:25:43.590,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Licitações,2025-05-30 17:14:32.283,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Plano de Cargos,2025-06-02 10:11:07.990,202506
Betha Sistemas,Atos de Pessoal,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Plano de Cargos,2025-04-10 11:24:29.017,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Registros Contábeis,2025-06-03 08:44:52.633,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MARAVILHA,10820,Prefeitura Municipal de Maravilha ,Administração Direta,Tributário,2025-06-02 09:37:39.930,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Atos de Pessoal,2025-02-27 16:40:20.427,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Contratos,2025-05-14 17:21:36.343,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Execução Orçamentária,2025-06-02 18:40:09.183,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Folha de Pagamento,2025-05-29 16:35:26.627,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Gestão Fiscal,2025-05-06 10:12:50.250,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Licitações,2025-05-14 17:19:53.070,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Plano de Cargos,2025-06-01 07:55:10.280,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,30937,Câmara Municipal de Marema ,Câmara de Vereadores,Registros Contábeis,2025-06-02 17:47:41.803,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,80472,Controle Interno do Municipio de Marema,Unidade Central,Gestão Fiscal,2025-05-20 14:40:51.357,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,80472,Controle Interno do Municipio de Marema,Unidade Central,LOA,2025-05-26 10:26:07.613,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,22403,Fundo Municipal de Assistência Social de Marema ,Fundo,Contratos,2025-05-27 21:26:39.123,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,22403,Fundo Municipal de Assistência Social de Marema ,Fundo,Execução Orçamentária,2025-05-31 21:52:06.280,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,22403,Fundo Municipal de Assistência Social de Marema ,Fundo,Licitações,2025-05-27 21:25:38.740,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,MAREMA,22403,Fundo Municipal de Assistência Social de Marema ,Fundo,Registros Contábeis,2025-05-12 08:00:43.083,202504
